Время срабатывания,Квитировать,Сообщение
08.06.2020 23:22:41.258,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 23:22:39.958,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 23:22:39.887,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 23:22:39.637,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 23:22:38.258,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 23:22:38.187,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 23:22:38.037,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 23:10:15.144,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 23:03:18.236,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 23:03:18.164,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 23:03:17.964,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 23:03:15.964,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 23:03:15.864,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:54:43.128,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 22:47:45.919,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 22:47:45.847,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 22:47:45.647,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:47:43.648,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 22:47:43.547,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:43:30.115,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 22:36:33.406,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 22:36:32.206,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 22:36:32.135,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 22:36:31.885,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:36:30.406,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 22:36:30.334,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 22:36:30.185,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:19:03.087,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 22:12:06.079,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 22:12:06.007,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 22:12:05.807,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:12:03.907,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 22:12:03.807,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:08:13.075,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 22:01:15.166,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 22:01:15.094,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 22:01:14.895,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 22:01:12.994,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 22:01:12.894,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:57:50.062,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 21:50:53.557,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 21:50:52.457,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 21:50:52.386,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 21:50:52.135,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:50:50.658,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 21:50:50.435,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:29:01.031,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 21:24:18.026,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 21:22:03.823,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 21:22:03.751,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 21:22:03.551,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:22:01.601,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 21:22:01.451,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:17:20.318,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 21:17:20.246,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 21:17:20.046,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:17:18.146,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 21:17:18.046,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:14:54.015,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 21:07:57.307,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 21:07:56.107,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 21:07:56.036,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 21:07:55.786,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 21:07:54.407,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 21:07:54.335,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 21:07:54.186,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:41:02.977,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 20:40:50.978,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 20:34:05.970,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 20:34:05.898,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 20:34:05.698,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:34:03.798,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 20:34:03.698,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:33:53.170,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 20:33:53.098,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 20:33:52.898,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:33:51.048,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 20:33:50.898,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:33:14.968,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 20:26:18.560,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 20:26:17.460,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 20:26:17.389,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 20:26:17.139,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 20:26:15.760,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 20:26:15.689,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 20:26:15.539,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:56:42.927,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 19:52:31.922,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 19:51:40.922,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 19:49:45.618,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 19:49:45.546,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 19:49:45.346,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:49:43.347,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 19:49:43.246,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:45:34.843,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 19:45:34.643,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:45:32.743,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 19:45:32.643,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:41:03.644,Не квитировано,Выполнен выход пользоватля. Используется гостевой доступ.
08.06.2020 19:41:03.580,Не квитировано,"Произведён выход пользователя Иванов В. Р. из системы на IOS, т.к. закончилось максимально допустимое время сессии."
08.06.2020 19:44:44.012,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 19:44:42.913,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 19:44:42.841,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 19:44:42.591,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:44:41.213,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 19:44:41.142,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 19:44:40.992,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:12:28.877,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 19:10:25.668,Не квитировано,"PT-976. Давление фреона перед компрессорами К-111, К-112, К-113. НОРМА"
08.06.2020 19:10:25.668,Не квитировано,"PT-976. Давление фреона перед компрессорами К-111, К-112, К-113. «Минимум» СНЯТ"
08.06.2020 19:05:31.869,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 19:05:31.797,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 19:05:31.597,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:05:29.647,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 19:05:29.497,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 19:01:32.864,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 18:59:35.862,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 18:54:36.158,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 18:54:35.650,Не квитировано,"PT-976. Давление фреона перед компрессорами К-111, К-112, К-113. «Минимум»"
08.06.2020 18:54:35.158,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 18:54:35.087,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 18:54:34.837,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:54:33.058,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 18:54:32.987,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 18:54:32.837,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:52:38.956,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 18:52:38.884,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 18:52:38.684,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:52:36.184,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:52:36.284,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 18:27:20.824,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 18:20:23.217,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 18:20:23.145,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 18:20:22.945,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:20:21.095,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 18:20:20.945,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:18:42.815,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 18:14:07.810,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 18:11:46.008,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 18:11:45.007,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 18:11:44.935,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 18:11:44.685,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:11:43.207,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 18:11:43.136,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 18:11:42.986,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:07:09.900,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 18:07:09.829,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 18:07:09.629,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:07:07.730,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 18:07:07.629,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:02:54.198,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 18:02:54.125,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 18:02:53.925,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 18:02:51.925,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 18:02:51.825,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:39:12.769,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 17:32:15.462,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 17:32:14.562,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 17:32:14.491,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 17:32:14.240,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:32:12.862,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 17:32:12.790,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 17:32:12.641,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:30:48.761,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 17:23:51.051,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 17:23:50.979,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 17:23:50.779,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:23:48.779,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 17:23:48.679,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:22:13.750,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 17:20:54.242,Не квитировано,TT-981. Температура пропиленгликоля в емкости Е-112. «Максимум»
08.06.2020 17:15:16.443,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 17:15:16.371,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 17:15:16.171,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 17:15:14.271,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 17:15:14.170,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:55:41.720,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 16:52:09.716,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 16:48:45.511,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 16:48:44.612,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 16:48:44.541,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 16:48:44.290,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:48:42.713,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 16:48:42.640,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 16:48:42.491,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:45:12.507,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 16:45:12.435,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 16:45:12.235,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:45:10.285,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 16:45:10.135,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:37:06.698,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 16:30:09.990,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 16:30:09.918,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 16:30:09.718,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:30:07.218,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:17:14.674,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 16:16:58.675,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 16:10:17.466,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 16:10:17.394,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 16:10:17.194,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:10:15.194,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 16:10:15.094,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:10:01.565,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 16:10:00.666,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 16:10:00.595,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 16:10:00.345,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:09:58.966,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 16:09:58.895,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 16:09:58.744,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 16:05:17.660,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 15:58:19.952,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 15:58:19.880,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 15:58:19.680,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:58:17.680,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 15:58:17.580,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:53:44.647,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 15:46:47.538,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 15:46:47.466,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 15:46:47.267,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:46:44.867,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 15:46:44.767,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:39:18.630,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 15:32:21.922,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
08.06.2020 15:32:21.122,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 15:32:21.050,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 15:32:20.800,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:32:19.422,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 15:32:19.351,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 15:32:19.201,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:31:41.622,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 15:24:44.314,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 15:24:44.242,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 15:24:44.042,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:24:42.042,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 15:24:41.942,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:09:39.596,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
08.06.2020 15:02:42.589,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
08.06.2020 15:02:42.516,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
08.06.2020 15:02:42.316,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:02:39.816,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
08.06.2020 15:02:39.716,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 15:01:00.586,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
08.06.2020 14:58:17.581,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
08.06.2020 14:54:03.277,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
08.06.2020 14:54:03.206,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
08.06.2020 14:54:02.956,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 14:54:01.477,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
08.06.2020 14:54:01.406,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
08.06.2020 14:54:01.256,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 14:51:19.975,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
08.06.2020 14:51:19.902,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
08.06.2020 14:51:19.702,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 14:51:17.702,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
08.06.2020 14:51:17.602,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
08.06.2020 14:26:41.546,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
