Время срабатывания,Квитировать,Сообщение
10.06.2020 06:15:22.162,Не квитировано,Вентилятор АТ-111/3. ОТКЛЮЧЕН
10.06.2020 06:15:21.912,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:15:21.229,Не квитировано,Соленоидный клапан К113-СR1. ОТКРЫТ
10.06.2020 06:15:21.229,Не квитировано,"Соленоидный клапан К113-СR1. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:15:13.910,Не квитировано,Вентилятор АТ-102/1. ВКЛЮЧЕН
10.06.2020 06:15:13.210,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ВКЛЮЧИТЬ РЕЗЕРВНЫЙ АГРЕГАТ КАК ДОПОЛНИТЕЛЬНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:15:13.210,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:15:13.210,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ ОСНОВНОЙ АВТОМАТИЧЕСКИ
10.06.2020 06:14:53.012,Не квитировано,Вентилятор АТ-111/3. ВКЛЮЧЕН
10.06.2020 06:14:52.312,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:14:51.960,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ РЕЗЕРВНЫЙ
10.06.2020 06:14:51.960,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ РЕЗЕРВНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:14:51.861,Не квитировано,Вентилятор АТ-102/1. ОТКЛЮЧЕН
10.06.2020 06:14:51.610,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:14:51.429,Не квитировано,FS-953. Защита компрессора К-113 от низкого давления масла. ЗАМКНУТ
10.06.2020 06:14:51.408,Не квитировано,Компрессор К-113. ВКЛЮЧЕН
10.06.2020 06:14:51.259,Не квитировано,Компрессор К-113. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:14:51.259,Не квитировано,Компрессор К-113. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:14:51.259,Не квитировано,Компрессор К-113. НАЗНАЧИТЬ РЕЖИМ ОСНОВНОЙ АВТОМАТИЧЕСКИ
10.06.2020 06:14:33.710,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ВКЛЮЧИТЬ РЕЗЕРВНЫЙ АГРЕГАТ КАК ДОПОЛНИТЕЛЬНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:14:33.710,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:14:33.710,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ ОСНОВНОЙ АВТОМАТИЧЕСКИ
10.06.2020 06:14:32.410,Не квитировано,Вентилятор АТ-102/2. ВКЛЮЧЕН
10.06.2020 06:14:31.711,Не квитировано,Вентилятор АТ-102/2. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:14:21.228,Не квитировано,Соленоидный клапан К112-СR2. ОТКРЫТ
10.06.2020 06:14:21.228,Не квитировано,"Соленоидный клапан К112-СR2. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:14:10.206,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
10.06.2020 06:14:10.057,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:14:07.061,Не квитировано,Вентилятор АТ-111/3. ОТКЛЮЧЕН
10.06.2020 06:14:06.811,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:13:56.228,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
10.06.2020 06:13:56.226,Не квитировано,Соленоидный клапан К-12. ОТКРЫТ
10.06.2020 06:13:56.226,Не квитировано,"Соленоидный клапан К-12. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:13:55.811,Не квитировано,Вентилятор АТ-111/3. ВКЛЮЧЕН
10.06.2020 06:13:55.111,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:13:51.228,Не квитировано,"Соленоидный клапан К112-СR1. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:13:51.228,Не квитировано,Соленоидный клапан К112-СR1. ОТКРЫТ
10.06.2020 06:13:43.010,Не квитировано,Вентилятор АТ-111/2. ВКЛЮЧЕН
10.06.2020 06:13:42.310,Не квитировано,Вентилятор АТ-111/2. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:13:21.256,Не квитировано,Компрессор К-112. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:13:21.527,Не квитировано,FS-952. Защита компрессора К-112 от низкого давления масла. ЗАМКНУТ
10.06.2020 06:13:21.406,Не квитировано,Компрессор К-112. ВКЛЮЧЕН
10.06.2020 06:12:51.227,Не квитировано,"Соленоидный клапан К111-СR2. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:12:51.227,Не квитировано,Соленоидный клапан К111-СR2. ОТКРЫТ
10.06.2020 06:12:21.225,Не квитировано,"Соленоидный клапан К111-СR1. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:12:21.225,Не квитировано,Соленоидный клапан К111-СR1. ОТКРЫТ
10.06.2020 06:12:16.748,Не квитировано,Задвижка V-33. ОТКРЫТА
10.06.2020 06:12:15.707,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ РЕЗЕРВНЫЙ
10.06.2020 06:12:15.707,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - НАЗНАЧИТЬ РЕЖИМ РЕЗЕРВНЫЙ С АРМ
10.06.2020 06:11:51.154,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 06:11:51.005,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:11:51.227,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 06:11:51.225,Не квитировано,Соленоидный клапан К-22. ОТКРЫТ
10.06.2020 06:11:51.225,Не квитировано,"Соленоидный клапан К-22. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:11:49.225,Не квитировано,Соленоидный клапан К-21. ОТКРЫТ
10.06.2020 06:11:49.224,Не квитировано,"Соленоидный клапан К-21. ПОЛУЧЕНА КОМАНДА ""ОТКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:11:40.726,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
10.06.2020 06:11:40.654,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
